Date,White,Black,Result,Elo White,Elo Black,Time Control,Game URL
2023-10-12 09:21:13,faveaypi,riya123498,win,197,180,600,https://www.chess.com/game/live/81854849392
2023-10-13 11:38:36,riya123498,MsqL2006,win,189,227,600,https://www.chess.com/game/live/81864977772
2023-10-13 11:39:18,mohamedelfaddani,riya123498,checkmated,199,181,600,https://www.chess.com/game/live/81865055732
2023-10-13 11:48:57,Artir8888,riya123498,resigned,244,174,600,https://www.chess.com/game/live/81865116816
2023-10-13 12:10:18,riya123498,MutilatorOf,win,182,169,600,https://www.chess.com/game/live/81865143562
2023-10-13 12:12:30,mari_555,riya123498,win,183,190,600,https://www.chess.com/game/live/81865302230
2023-10-13 12:14:28,riya123498,nagibatorzaruna,win,196,107,600,https://www.chess.com/game/live/81865318126
2023-10-13 12:19:36,riya123498,carkaf,resigned,189,251,600,https://www.chess.com/game/live/81865332924
2023-10-14 01:15:46,IArelyG,riya123498,win,180,197,600,https://www.chess.com/game/live/81871130744
2023-10-14 15:01:33,muradtt9990,riya123498,checkmated,249,190,600,https://www.chess.com/game/live/81876247544
2023-10-14 15:03:08,riya123498,Prathameshfirstking,resigned,183,256,600,https://www.chess.com/game/live/81876264012
2023-10-14 15:04:50,ahmadabrargiri,riya123498,resigned,242,176,600,https://www.chess.com/game/live/81876275138
2023-10-17 11:31:28,riya123498,CostantinoBinetti,win,186,260,600,https://www.chess.com/game/live/81901851772
2023-10-17 11:43:08,riya123498,layanmd,resigned,177,135,600,https://www.chess.com/game/live/81901950804
2023-10-17 11:45:10,riya123498,Nguyetdan,checkmated,170,249,600,https://www.chess.com/game/live/81901982936
2023-10-17 11:46:56,WERVAN,riya123498,resigned,204,163,600,https://www.chess.com/game/live/81902000234
2023-10-17 12:01:01,bogdanCiz,riya123498,checkmated,218,156,600,https://www.chess.com/game/live/81902011768
2023-10-17 14:21:55,riya123498,Archonsus,repetition,156,140,600,https://www.chess.com/game/live/81903135916
2023-10-17 14:40:03,designbyfrankie,riya123498,win,169,164,600,https://www.chess.com/game/live/81903312678
2023-10-17 14:48:55,beginnernhu,riya123498,win,192,173,600,https://www.chess.com/game/live/81903496152
2023-10-20 01:22:19,BlueFlamingo2,riya123498,win,148,181,600,https://www.chess.com/game/live/81927028430
2023-10-21 02:16:15,MagarUnique,riya123498,win,184,189,600,https://www.chess.com/game/live/81936836946
2023-10-21 04:25:14,danive96,riya123498,timeout,262,183,600,https://www.chess.com/game/live/81937408216
2023-10-21 04:38:02,Niyam12,riya123498,win,151,191,600,https://www.chess.com/game/live/81937511662
2023-10-21 13:06:19,shamydesu,riya123498,win,162,199,600,https://www.chess.com/game/live/81940624512
2023-10-21 13:13:39,riya123498,AashutoshBanote,resigned,190,152,600,https://www.chess.com/game/live/81940670470
2023-10-21 13:28:00,riya123498,espyovernova,win,198,203,600,https://www.chess.com/game/live/81940726814
2023-10-21 13:42:28,riya123498,OMGmoy,win,204,122,600,https://www.chess.com/game/live/81940838760
2023-10-21 16:02:39,riya123498,Unajedrezistabueno,stalemate,205,249,600,https://www.chess.com/game/live/81942038772
2023-10-21 16:14:39,riya123498,dharmikk02,win,215,294,600,https://www.chess.com/game/live/81942128932
2023-10-21 16:29:37,riya123498,FAHIMASPAK,win,223,210,600,https://www.chess.com/game/live/81942241234
2023-10-22 09:04:20,Alexandredaspett,riya123498,win,302,233,600,https://www.chess.com/game/live/81948029946
2023-10-22 09:04:47,riya123498,lastben,resigned,226,270,600,https://www.chess.com/game/live/81948106438
2023-10-22 09:25:24,tflexmac,riya123498,checkmated,211,217,600,https://www.chess.com/game/live/81948113644
2023-10-22 09:36:54,Finestea234,riya123498,win,198,225,600,https://www.chess.com/game/live/81948234730
2023-10-22 14:52:13,riya123498,werti168,checkmated,218,279,600,https://www.chess.com/game/live/91725047175
2023-10-22 15:08:22,riya123498,jugnubaba,stalemate,218,216,600,https://www.chess.com/game/live/81950542804
2023-10-22 15:22:23,riya123498,animobanzi,win,226,225,600,https://www.chess.com/game/live/81950672924
2023-10-23 05:54:12,riya123498,1moincraf,win,236,316,600,https://www.chess.com/game/live/81955892036
2023-10-23 06:07:52,riya123498,tuan1011dz,resigned,228,255,600,https://www.chess.com/game/live/81955972980
2023-10-23 06:10:14,chakip_original,riya123498,resigned,201,219,600,https://www.chess.com/game/live/81956033324
2023-10-23 06:14:06,heinhtutnaing2014,riya123498,win,147,226,600,https://www.chess.com/game/live/81956045646
